default_code,Name
201050090,ไม้บันได SPC พับผ้า 1320x1240x140x1712x26 สี LC5802-5 L 
201050091,ไม้บันได SPC พับผ้า 1320x1240x140x1712x26 สี LC5802-5 R 
201050092,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) L 
201050093,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) R 
201050094,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี MODERN BEIGE (SN-7001-WG) L 
201050095,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050096,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050097,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050098,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050099,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050100,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050101,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050102,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050103,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) L 
201050104,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) R 
201050105,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี MODERN BEIGE (SN-7001-WG) L 
201050106,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050107,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050108,ไม้บันได SPC พับผ้า 1200x1220x1697x26 สี LC5802-5 L 
201050109,ไม้บันได SPC พับผ้า 1200x1220x1697x26 สี LC5802-5 R 
201050110,ไม้บันได SPC พับผ้า 1139x1166x1630x26 สี Forest Trail L 
201050111,ไม้บันได SPC พับผ้า 1139x1166x1630x26 สี Forest Trail R 
201050112,ไม้บันได SPC พับผ้า 1288x1243x80x1734x26 สี Forest Trail L 
201050113,ไม้บันได SPC พับผ้า 1288x1243x80x1734x26 สี Forest Trail R 
201050402,ไม้บันได SPC พับผ้า A 1200x1200x1697x26 สี IDOL OAK R 
201050403,ไม้บันได SPC พับผ้า B  1200x1200x1697x26 สี IDOL OAK R 
201050434,ไม้บันได SPC พับผ้า  1035x1035x1464x26 สี 5022-7 L 
201050435,ไม้บันได SPC พับผ้า  1035x1035x1464x26 สี 5022-7 R 
201050436,ไม้บันได SPC พับผ้า  1045x1045x1477x26 สี 5022-7 L 
201050437,ไม้บันได SPC พับผ้า  1045x1045x1477x26 สี 5022-7 R 
201050438,ไม้บันได SPC พับผ้า  1070x713x1286x26 สี 5022-7 L 
201050439,ไม้บันได SPC พับผ้า  1070x713x1286x26 สี 5022-7 R 
201050440,ไม้บันได SPC พับผ้า  450x400x1185x1150x26 สี 5022-7 L 
201050441,ไม้บันได SPC พับผ้า  450x400x1185x1150x26 สี 5022-7 R 
201050442,ไม้บันได SPC พับผ้า  570x990x1142x26 สี 5022-7 L 
201050443,ไม้บันได SPC พับผ้า  570x990x1142x26 สี 5022-7 R 
201050448,ไม้บันได SPC พับผ้า  1180x1120x1627x26 สี Forest Trail L 
201050449,ไม้บันได SPC พับผ้า  1180x1120x1627x26 สี Forest Trail R 
201050450,ไม้บันได SPC พับผ้าขั้น 10  1180x1120x1627x26 สี Forest Trail L 
201050451,ไม้บันได SPC พับผ้าขั้น 10  1180x1120x1627x26 สี Forest Trail R 
201050508,ไม้บันได SPC พับผ้า A  1200x1200x1697x26 สี IDOL  L 
201050509,ไม้บันได SPC พับผ้า B  1200x1200x1697x26 สี IDOL  L 
201050510,ไม้บันได SPC พับผ้าขั้น 10 1180x1180x1712x26 สี Forest Trail L 
201050511,ไม้บันได SPC พับผ้าขั้น 10 1180x1180x1712x26 สี Forest Trail R 
201050015,ไม้บันได SPC TOP 225x1600x150x1495x105x150x8 สี LC5802-5 L 
201050016,ไม้บันได SPC TOP 225x1600x150x1495x105x150x8 สี LC5802-5 R 
201050017,ไม้บันได SPC TOP 275x1600x150x1455x125x150x8x8 สี LC5802-5 L 
201050018,ไม้บันได SPC TOP 275x1600x150x1455x125x150x8x8 สี LC5802-5 R 
406010001,ขอบ PVC สี PE170  เทียบสีเทา MK203 (ผิว Peal) กว้าง 19 mm. หนา 0.7 mm. ยาว 200 m.
406010002,ขอบ PVC สี PE183 เทียบสี MD557 Combi Brown ( ผิว Wood Veneer) กว้าง 19 mm. หนา 0.7 mm. ยาว 200 m.
406010003,ขอบ PVC สี PE31  ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010004,ขอบ PVC สี 98-9483 (PE37) ผิวเอมบอส กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010005,ขอบ PVC สี PE183  เทียบสี MD557 Combi Brown ผิว Wood Veneer  กว้าง 19 mm. หนา 0.7 mm. ยาว 200 m.
406010006,ขอบ PVC สี 98-14510 (PE59) ผิวเอมบอส กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010007,ขอบ PVC สี PE397 ( เทียบสี  AP6 Alutex) ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010008,ขอบ PVC สี 98-10981 (PE58/PP58) ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010009,ขอบ PVC สี PE226 (เทียบสี HPL.WY4221X) ผิวเอมบอส กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010010,ขอบ PVC สี PE183 ( เทียบสี MD557 Combi Brown ) ผิว Wood Veneer กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010011,ขอบ PVC สี PE185  (17AYJ52T (ปิยวานิช)) ผิวเอมบอส กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010012,ขอบ PVC สี PE57  ผิวเอมบอส กว้าง 32 mm. หนา 1 mm. ยาว 200 m.
406010013,ขอบ PVC สี PE59  ผิวเอมบอส กว้าง 32 mm. หนา 1 mm. ยาว 200 m.
406010014,ขอบ PVC สี 027 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010015,ขอบ PVC สี 028 ผิวเรียบ กว้าง 625 mm. หนา 0.4 mm. ยาว 200 m.
406010016,ขอบ PVC สี 028 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010017,ขอบ PVC สี 031 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010018,ขอบ PVC สี 039 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010019,ขอบ PVC สี 89-270 (BLACK เทียบ PURIPLAST HPL BLACK) ผิวดำด้าน กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010020,ขอบ PVC สี 89-9213 (เทียบสี Wilsonart 10622-G Ebony) ผิวเรียบ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010021,ขอบ PVC สี 89-9213 (เทียบสี Wilsonart 10622-G Ebony) ผิวเรียบ กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010022,ขอบ PVC สี 89-B14TG367  (เทียบสี MD235 Dark Grey  Metro) ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010023,ขอบ PVC สี 89-B14TG43 (เทียบสี HPL 0041T) ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010024,ขอบ PVC สี 98-10977 (เทียบสี White Wash OB8) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010025,"ขอบ PVC สี 98-12448 (เทียบสี Homie Eucalyptus,AP9,AP2) ลายไม้ กว้าง 22 mm. หนา 1 mm. ยาว 200 m."
406010026,"ขอบ PVC สี 98-12448 (เทียบสี Homie Eucalyptus,AP9,AP2) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m."
406010027,ขอบ PVC สี 98-14512 (เทียบสี Maison Oak BD7) ลายไม้ กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010028,ขอบ PVC สี 98-14512 (เทียบสี Maison Oak BD7)  ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010029,ขอบ PVC สี 98-14520 (เทียบสี 303) ลายไม้ กว้าง 19 mm. หนา 0.5 mm. ยาว 200 m.
406010030,ขอบ PVC สี 98-8367 (Oak) ลายไม้ กว้าง 48 mm. หนา 1 mm. ยาว 200 m.
406010031,ขอบ PVC สี 98-B14TG70 (เทียบสี Foss ZilK BK2) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010032,ขอบ PVC สี 98-B14TG73 (เทียบสี Rosie Aluminum BK5) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010033,ขอบ PVC สี PP45 ลายไม้ กว้าง 19 mm. หนา 0.5 mm. ยาว 200 m.
406010034,ขอบ PVC สี 046 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010035,ขอบ PVC สี 048 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010036,ขอบ PVC สี 89-9213 Graphite (S) (เทียบสี MD204) ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010037,ขอบ PVC สี 89-9213 Graphite (S) (เทียบสี MD204) ผิวส้ม กว้าง 48 mm. หนา 1 mm. ยาว 200 m.
406010038,ขอบ PVC สี 98-14523 (เทียบสี HPL WY1249D Lamitak) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010039,ขอบ PVC สี 98-B14TG179 (เทียบสี Hokaido elm AV4 Panel Plus) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010040,ขอบ PVC สี D037TH00 (สีเทาไฮกลอส) ผิวเงา กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010041,ขอบ PVC สี 89-9581 Beige (S) (เทียบสี MD206) ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010042,ขอบ PVC สี 89-10620  (เทียบสีขาวเรียบ (เอกชัย) ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010043,ขอบ PVC สี 98-21647(w) (เทียบสี FF23-19) ลายไม้ กว้าง 28 mm. หนา 0.5 mm. ยาว 200 m.
406010044,ขอบ PVC สี 98-B14TG32(w) (เทียบสี FF22-65) ลายไม้ กว้าง 28 mm. หนา 0.5 mm. ยาว 200 m.
406010045,ขอบ PVC สี 98-B14TG743(w) (เทียบสี FF23-18) ลายไม้ กว้าง 28 mm. หนา 0.5 mm. ยาว 200 m.
406010046,ขอบ PVC สี 98-B14TG916(w) (เทียบสี FF21-11) ลายไม้ กว้าง 28 mm. หนา 0.5 mm. ยาว 200 m.
406010047,ขอบ PVC สี 98-16813(w)  (เทียบสี FF21-10) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010048,ขอบ PVC สี 98-14500 (เทียบสี HPL WYA5269E) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010049,"ขอบ PVC สี 89-10096 (เทียบสี สี Carbon Grey,BE4 Panelplus) ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m."
406010050,ขอบ PVC สี 98-10978 (เทียบสี HPL DM6477W) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010051,ขอบ PVC สี 98-10983 (เทียบสี 150-12KBW) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010052,ขอบ PVC สี 98-12450 (เทียบสี HPL panelplus PL5252BW Malt Oak U17) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010053,ขอบ PVC สี 98-12635 (เทียบสี HPL WX5237X) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010054,ขอบ PVC สี 98-23241 (เทียบสี สีลายไม้ #048(MANDOM) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010055,ขอบ PVC สี 98-3592 เทียบสี 046-106 เอกชัย ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010056,ขอบ PVC สี 98-5083 (เทียบสี 150-17KBW)  ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010057,"ขอบ PVC สี 98-B14582 (เทียบสี Melamine Honey Elm,BJ3 Panelplus)  ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m."
406010058,ขอบ PVC สี 98-B14TG117 BW (เทียบสี EDL DSW 4451SMA) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010059,ขอบ PVC สี 98-B14TG20  ลายไม้ กว้าง 15 mm. หนา 0.5 mm. ยาว 200 m.
406010060,ขอบ PVC สี 98-B14TG418 เทียบสี Maroon Oak MKW-5412-ผิว02 ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010061,ขอบ PVC สี 98-B14TG669 เทียบสี Shimo Ash AG9 ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010062,ขอบ PVC สี A322TH11 (เทียบสี 910-25PU) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010063,ขอบ PVC สี A322TH11 (เทียบสี 910-25PU) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010064,ขอบ PVC สี A333TH08 (เทียบสี 150-17KBW) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010065,ขอบ PVC สี A333TH08 (เทียบสี 150-17KBW) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010066,ขอบ PVC สี 89-1849(s) (เทียบสี PP19)/81019019 ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010067,ขอบ PVC สี 89-1849(s) (เทียบสี PP19) ผิวส้ม กว้าง 25 mm. หนา 1 mm. ยาว 200 m.
406010068,ขอบ PVC สี 98-14046 (เทียบสี PP35) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010069,ขอบ PVC สี 98-9093 (เทียบสี PP36)/81019172 ผิวเอมบอส กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010070,ขอบ PVC สี 98-14519 (เทียบสี PP43) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010071,ขอบ PVC สี 98-11634 (W) White Dalc / สี A213TH04 ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010072,ขอบ PVC สี 98-11634 (W) White Dalc / สี A213TH04 ลายไม้ กว้าง 48 mm. หนา 1 mm. ยาว 200 m.
406010073,ขอบ PVC สี D0087TH00 (สีพื้น ผิวเงา HG) เทียบสี Wilsonart D439-G (Wilsonart) ขาว (เดิมรหัส  รหัส D020TH00) ผิวเงา HG กว้าง 22 mm. หนา 0.7 mm. ยาว 200 m.
406010074,ขอบ PVC สี D0087TH00 (สีพื้น ผิวเงา HG)  เทียบสี Wilsonart D439-G (Wilsonart) ขาว (รหัสเดิมD020TH00) ผิวเงา HG กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010075,ขอบ PVC สี PVC PP70 SMBP-2064CG [PNF-D0138TH00]  ผิวเงา  กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010076,ขอบ PVC สี PVC PP76  MBP-16A-075TC [PNF-B0276TH00] ผิวเรียบ  กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010077,"ขอบ PVC สี DCA1613 w114, TC-A13 L2 928,PE98 (เทียบสี MD369) ผิวFabric กว้าง 19 mm. หนา 1 mm. ยาว 200 m."
406010078,ขอบ PVC สี PE18 (เทียบสี TD9201-G) ผิวเงา กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010079,ขอบ PVC สี 98-5101 (เทียบสี WY4237X) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010080,ขอบ PVC สี 889-9288(s) เทียบสี PP41 ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010081,ขอบ PVC สี PE183 ผิว Wood Veneer กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010082,ขอบ PVC สี 89-270(HG) เทียบ PP0909HG / PE337 ผิวเรียบ  กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010083,ขอบ PVC สี PE18 (เทียบสี TD9201-G) ผิวเงา กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010084,ขอบ PVC สี PE322 เทียบรหัส MD620 Vintage Leather  ผิวส้ม กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010085,ขอบ PVC สี PE362  เทียบสี MD651 ผิวส้ม กว้าง 19 mm. หนา 0.5 mm. ยาว 200 m.
406010086,ขอบ PVC สี 89-2522 เทียบสี MD205 Black Matt Metro ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010087,ขอบ PVC สี 98-10969 (PE129) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010088,ขอบ PVC สี PE362 เทียบสี MD651 ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010089,ขอบ PVC สี 98-12636 (เทียบ PP52) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010090,ขอบ PVC สี 98-10981 (PE58) ผิวเรียบเงา กว้าง 22 mm. หนา 0.5 mm. ยาว 200 m.
406010091,"ขอบ PVC สี 889-9299 เทียบสี 1141S , PE262 ผิวส้ม กว้าง 22 mm. หนา 1 mm. ยาว 200 m."
406010092,ขอบ PVC สี 98-10969 (PE129) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010093,ขอบ PVC สี PE362 เทียบสี MD651  ผิวส้ม กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010094,ขอบ PVC สี 98-12636 (เทียบ PP52) ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010095,ขอบ PVC สี 98-5091 / 98-B14TG443 ลายไม้ กว้าง 32 mm. หนา 1 mm. ยาว 200 m.
406010096,ขอบ PVC สี PE147 เทียบ MD204 ผิว Pearl กว้าง 42 mm. หนา 0.7 mm. ยาว 200 m.
406010097,ขอบ PVC สี 998-4828 เทียบสี RejekaOak 0R8 (Panelplus) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010098,ขอบ PVC สี 98-14510  เทียบสี Sheffield Oak AT9 (Panelplus) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010099,"ขอบ PVC สี 98-12448 เทียบสี Swiss ELM Warm Ap2,AP9 (Panelplus) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m."
406010100,ขอบ PVC สี RejekaOak 0R8  ลายไม้ กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010101,ขอบ PVC สี 89-1729 White (HG) ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010102,ขอบ PVC สี 89-1729 White (HG)  ผิวเรียบ กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010103,ขอบ PVC สี 98-6480  (เทียบสี MD618) ผิว Woodgrain กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010104,ขอบ PVC สี 98-B14TG40  (เทียบสี #048(MANDOM) ลายไม้ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010105,ขอบ PVC สี 89-10618 (เทียบสีPW 204 G GREENLAM)  ผิวเงา กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010106,ขอบ PVC สี 89-10102(M)  กว้าง 29 mm. หนา 1 mm. ยาว 200 m.
406010107,ขอบ PVC สี 98-B14TG40  (เทียบสี#048(MANDOM) ลายไม้ กว้าง 29 mm. หนา 1 mm. ยาว 200 m.
406010108,"ขอบ PVC สี 98-10975 (เทียบสี Lava Acacia ,AQ1)         กว้าง 29 mm. หนา 1 mm. ยาว 200 m."
406010109,ขอบ PVC สี 98-6480  (เทียบสี MD618) ผิว Woodgrain กว้าง 29 mm. หนา 1 mm. ยาว 200 m.
403010004,SPC ขนาด 970x2400x4 สี CDW674-06 (2.32 ตรม./แผ่น)
403010005,SPC ขนาด 180x1220x4 สี FF21-10 (10/แผ่น/กล่อง/2.20ตรม.)
403010006,SPC ขนาด 180x1220x4 สี FF21-11 (10/แผ่น/กล่อง/2.20ตรม.)
403010007,SPC ขนาด 180x1220x4 สี FF22-65 (10/แผ่น/กล่อง/2.20ตรม.)
403010008,SPC ขนาด 180x1220x4 สี FF23-18 (10/แผ่น/กล่อง/2.20ตรม.)
403010009,SPC ขนาด 180x1220x4 สี FF23-19 (10/แผ่น/กล่อง/2.20ตรม.)
403010010,SPC ขนาด 230x1520x5.5 สี TIMBEM099 (6แผ่น/กล่อง/2.86 ตรม.) (LH-M15)
403010011,SPC ขนาด 230x1520x5.5 สี PINE M074WL05 (6แผ่น/กล่อง/2.86 ตรม.)
403010012,SPC ขนาด 230x1800x5 สี TIMBER M061 (6แผ่น/กล่อง/2.42 ตรม.) (LH-M15)
403010013,SPC ขนาด 229.3x1212.9x0.6 สี EASTERN WALNUT (SMP-8014 WG) (2.22 ตร.ม./8แผ่น/กล่อง)
403010014,SPC ขนาด 229.3x1212.9x0.6 สี American White Oak (SMP-8020 WG) (2.22 ตรม./8แผ่น/กล่อง)
403010015,SPC ขนาด 222.3x1212.9x0.6 สี Brunette (SMP-8025 WG) (2.22 ตรม./8แผ่น/กล่อง)
403010016,SPC ขนาด 222.3x1212.9x0.6 สี Midnight Oak  (SP-8019-WG) (2.22 ตรม./8แผ่น/กล่อง)
403010017,SPC ขนาด 178x1212.9x0.5 สี Modern Beige (SS-7001- WG) (2.59 ตรม./12แผ่น/กล่อง)
403010018,SPC ขนาด 229.3x1212.9x0.6 สี Royal Oak (SMP-8003 WG) (2.22 ตรม./8แผ่น/กล่อง)
403010019,SPC ขนาด 222.3x1212.9x0.55 สี Forest Trail (2.16 ตรม./8แผ่น/กล่อง)
403010020,SPC ขนาด 222.3x1212.9x0.6 สี Luxury Oak (SMP-8010 WG) (2.22 ตรม./8แผ่น/กล่อง)
403010023,SPC ขนาด 178x1212.9x0.5 สี INDUSTRIAL WOOD SS-7009-WG (12แผ่น/กล่อง/2.59 ตรม.)
403010025,SPC ขนาด 230x1520x0.5 สี LAGOS OAK E05 (1 Box:2.10 ตร.ม.)
403010026,SPC ขนาด 190x60-180x0.6 สี LILYBROWNOAK 003A (3 pcs/1 Box:1.03 ตร.ม.)
403010027,SPC ขนาด 230x1520x0.5 สี LISBON OAK E06 (1 Box:2.10 ตร.ม.)
403010028,SPC ขนาด 230x1520x0.5 สี LONGWOOD OAK 1018 (1 Box:2.10 ตร.ม.)
403010033,SPC ขนาด 180x1220x4 สี FF20-03 (10/แผ่น/กล่อง/2.20ตรม.)
403010034,SPC ขนาด 180x1220x4 สี FF21-13 (10/แผ่น/กล่อง/2.20ตรม.)
403010035,SPC ขนาด 180x1220x4 สี FF22-102 (10/แผ่น/กล่อง/2.20ตรม.)
403010036,SPC ขนาด 180x1220x4 สี FF22-15 (10/แผ่น/กล่อง/2.20ตรม.)
403010037,SPC ขนาด 180x1220x4 สี FF22-17 (10/แผ่น/กล่อง/2.20ตรม.)
403010043,SPC ขนาด 19x60-180  (7.0/0.6mm.)  สี LANAN OAK (6 pcs/Box:2.05 ตร.ม.)
412130001,ซิลิโคนแบบไร้กรด PU-2000 (Grey/WH) ขนาด 600ml.(20หลอด/ลัง)ยาแนว สีเทา  
412130002,ซิลิโคนแบบไร้กรด A700 special acrylic sealant สีขาว ขนาด 450gm. (25หลอด/1ลัง)ยาแนว สีขาว  
412130006,ซิลิโคนแบบไร้กรด AS-628 สีดำ (มีกรด) (24หลอด/ลัง)ยาแนว สีดำ  
412140004,ซิลิโคนแบบมีกรด SX-2000  ยาแนว สีอลูมิเนียม (25หลอด/ลัง)  
412140005,ซิลิโคนแบบมีกรด 1st AS-628กันเชื้อรา สีใส  
412140006,ซิลิโคนแบบมีกรด 1st AS-628กันเชื้อรา สีขาว  
412140007,ซิลิโคนแบบมีกรด AS628 ยาแนว สีใส (24หลอด/1ลัง)  
412150001,อะคริลิค SX-1500 ยาแนว สี WENGE DARK GREY (20หลอด/ลัง)  
412150002,อะคริลิค A-500ยาแนว สีขาว (25หลอด/ลัง)  
412150003,อะคริลิค A500ยาแนว สีดำ (25หลอด/ลัง)  
412150004,อะคริลิค A-500ยาแนว สีเทา (25หลอด/ลัง)  
412150005,อะคริลิค A-500ยาแนว สี Oak (25หลอด/1ลัง)  
412150006,อะคริลิค A-500ยาแนว สี TEAK (25หลอด/1ลัง)  
412150007,อะคริลิค A-500ยาแนว สีเมเปิ้ล (25หลอด/ลัง)  
412150008,อะคริลิค A-500 ยาแนว สีโกล์เด้นทีก (25หลอด/ลัง)  
